cell_id,expected_raw_value_millions,source_member,source_workbook_sha256,source_sheet,source_cell_address,evidence_classification_key,evidence_negative_economic_type,evidence_sign_domain,classification_status,component_resolution_status,evidence_ids
AR24:PRODUCER_FINAL_USE:CLOSURE:Other:F010,-36201,IOUse_After_Redefinitions_PRO_Summary.xlsx,9e3791d657909843ce202161bae00cf8a425d7e1bf866cc8a0462810f0ae00c7,2024,BW80,D,OTHER_NONCOMPARABLE_IMPORTS_ROW_ADJUSTMENT_COMPOSITE_SIGNED_FINAL_USE_RECLASSIFICATION,SIGNED_FLOW,LITERATURE_SUPPORTED_SIGN_DOMAIN_COMPONENT_UNRESOLVED,OTHER_COMPONENT_ATTRIBUTION_UNRESOLVED_2024,BEA_IO_CONCEPTS_METHODS_2006|BEA_INDUSTRY_CLASSIFICATION_2018
AR24:PRODUCER_FINAL_USE:CLOSURE:Used:F02E,-165381,IOUse_After_Redefinitions_PRO_Summary.xlsx,9e3791d657909843ce202161bae00cf8a425d7e1bf866cc8a0462810f0ae00c7,2024,BY79,B,USED_SCRAP_COMPOSITE_FIXED_ASSET_ACQUISITIONS_LESS_DISPOSALS,SIGNED_FLOW,LITERATURE_SUPPORTED_SIGN_DOMAIN_COMPONENT_UNRESOLVED,USED_SCRAP_COMPONENT_AND_COUNTERPART_UNRESOLVED_2024,BEA_IO_CONCEPTS_METHODS_2006|SNA_2008|BEA_INDUSTRY_CLASSIFICATION_2018
AR24:PRODUCER_FINAL_USE:CLOSURE:Used:F02R,-1182,IOUse_After_Redefinitions_PRO_Summary.xlsx,9e3791d657909843ce202161bae00cf8a425d7e1bf866cc8a0462810f0ae00c7,2024,CA79,B,USED_SCRAP_COMPOSITE_FIXED_ASSET_ACQUISITIONS_LESS_DISPOSALS,SIGNED_FLOW,LITERATURE_SUPPORTED_SIGN_DOMAIN_COMPONENT_UNRESOLVED,USED_SCRAP_COMPONENT_AND_COUNTERPART_UNRESOLVED_2024,BEA_IO_CONCEPTS_METHODS_2006|SNA_2008|BEA_INDUSTRY_CLASSIFICATION_2018
AR24:PRODUCER_FINAL_USE:CLOSURE:Used:F02S,-3668,IOUse_After_Redefinitions_PRO_Summary.xlsx,9e3791d657909843ce202161bae00cf8a425d7e1bf866cc8a0462810f0ae00c7,2024,BX79,B,USED_SCRAP_COMPOSITE_FIXED_ASSET_ACQUISITIONS_LESS_DISPOSALS,SIGNED_FLOW,LITERATURE_SUPPORTED_SIGN_DOMAIN_COMPONENT_UNRESOLVED,USED_SCRAP_COMPONENT_AND_COUNTERPART_UNRESOLVED_2024,BEA_IO_CONCEPTS_METHODS_2006|SNA_2008|BEA_INDUSTRY_CLASSIFICATION_2018
AR24:PRODUCER_FINAL_USE:CLOSURE:Used:F06S,-4,IOUse_After_Redefinitions_PRO_Summary.xlsx,9e3791d657909843ce202161bae00cf8a425d7e1bf866cc8a0462810f0ae00c7,2024,CF79,B,USED_SCRAP_COMPOSITE_FIXED_ASSET_ACQUISITIONS_LESS_DISPOSALS,SIGNED_FLOW,LITERATURE_SUPPORTED_SIGN_DOMAIN_COMPONENT_UNRESOLVED,USED_SCRAP_COMPONENT_AND_COUNTERPART_UNRESOLVED_2024,BEA_IO_CONCEPTS_METHODS_2006|SNA_2008|BEA_INDUSTRY_CLASSIFICATION_2018
AR24:PRODUCER_FINAL_USE:CLOSURE:Used:F07S,-1048,IOUse_After_Redefinitions_PRO_Summary.xlsx,9e3791d657909843ce202161bae00cf8a425d7e1bf866cc8a0462810f0ae00c7,2024,CJ79,B,USED_SCRAP_COMPOSITE_FIXED_ASSET_ACQUISITIONS_LESS_DISPOSALS,SIGNED_FLOW,LITERATURE_SUPPORTED_SIGN_DOMAIN_COMPONENT_UNRESOLVED,USED_SCRAP_COMPONENT_AND_COUNTERPART_UNRESOLVED_2024,BEA_IO_CONCEPTS_METHODS_2006|SNA_2008|BEA_INDUSTRY_CLASSIFICATION_2018
AR24:PRODUCER_FINAL_USE:CLOSURE:Used:F10E,-22969,IOUse_After_Redefinitions_PRO_Summary.xlsx,9e3791d657909843ce202161bae00cf8a425d7e1bf866cc8a0462810f0ae00c7,2024,CO79,B,USED_SCRAP_COMPOSITE_FIXED_ASSET_ACQUISITIONS_LESS_DISPOSALS,SIGNED_FLOW,LITERATURE_SUPPORTED_SIGN_DOMAIN_COMPONENT_UNRESOLVED,USED_SCRAP_COMPONENT_AND_COUNTERPART_UNRESOLVED_2024,BEA_IO_CONCEPTS_METHODS_2006|SNA_2008|BEA_INDUSTRY_CLASSIFICATION_2018
AR24:PRODUCER_INTERMEDIATE_USE:CLOSURE:Used:111CA,-18,IOUse_After_Redefinitions_PRO_Summary.xlsx,9e3791d657909843ce202161bae00cf8a425d7e1bf866cc8a0462810f0ae00c7,2024,C79,C,USED_SCRAP_COMPOSITE_NET_SALE_OR_DISPOSAL_BY_INDUSTRY,SIGNED_FLOW,LITERATURE_SUPPORTED_SIGN_DOMAIN_COMPONENT_UNRESOLVED,USED_SCRAP_COMPONENT_AND_COUNTERPART_UNRESOLVED_2024,BEA_IO_CONCEPTS_METHODS_2006|SNA_2008|BEA_INDUSTRY_CLASSIFICATION_2018
AR24:PRODUCER_INTERMEDIATE_USE:CLOSURE:Used:481,-302,IOUse_After_Redefinitions_PRO_Summary.xlsx,9e3791d657909843ce202161bae00cf8a425d7e1bf866cc8a0462810f0ae00c7,2024,AH79,C,USED_SCRAP_COMPOSITE_NET_SALE_OR_DISPOSAL_BY_INDUSTRY,SIGNED_FLOW,LITERATURE_SUPPORTED_SIGN_DOMAIN_COMPONENT_UNRESOLVED,USED_SCRAP_COMPONENT_AND_COUNTERPART_UNRESOLVED_2024,BEA_IO_CONCEPTS_METHODS_2006|SNA_2008|BEA_INDUSTRY_CLASSIFICATION_2018
AR24:PRODUCER_INTERMEDIATE_USE:CLOSURE:Used:483,-183,IOUse_After_Redefinitions_PRO_Summary.xlsx,9e3791d657909843ce202161bae00cf8a425d7e1bf866cc8a0462810f0ae00c7,2024,AJ79,C,USED_SCRAP_COMPOSITE_NET_SALE_OR_DISPOSAL_BY_INDUSTRY,SIGNED_FLOW,LITERATURE_SUPPORTED_SIGN_DOMAIN_COMPONENT_UNRESOLVED,USED_SCRAP_COMPONENT_AND_COUNTERPART_UNRESOLVED_2024,BEA_IO_CONCEPTS_METHODS_2006|SNA_2008|BEA_INDUSTRY_CLASSIFICATION_2018
AR24:PRODUCER_INTERMEDIATE_USE:CLOSURE:Used:711AS,-166,IOUse_After_Redefinitions_PRO_Summary.xlsx,9e3791d657909843ce202161bae00cf8a425d7e1bf866cc8a0462810f0ae00c7,2024,BL79,C,USED_SCRAP_COMPOSITE_NET_SALE_OR_DISPOSAL_BY_INDUSTRY,SIGNED_FLOW,LITERATURE_SUPPORTED_SIGN_DOMAIN_COMPONENT_UNRESOLVED,USED_SCRAP_COMPONENT_AND_COUNTERPART_UNRESOLVED_2024,BEA_IO_CONCEPTS_METHODS_2006|SNA_2008|BEA_INDUSTRY_CLASSIFICATION_2018
AR24:PRODUCER_INTERMEDIATE_USE:CLOSURE:Used:GFGD,-60,IOUse_After_Redefinitions_PRO_Summary.xlsx,9e3791d657909843ce202161bae00cf8a425d7e1bf866cc8a0462810f0ae00c7,2024,BQ79,C,USED_SCRAP_COMPOSITE_NET_SALE_OR_DISPOSAL_BY_INDUSTRY,SIGNED_FLOW,LITERATURE_SUPPORTED_SIGN_DOMAIN_COMPONENT_UNRESOLVED,USED_SCRAP_COMPONENT_AND_COUNTERPART_UNRESOLVED_2024,BEA_IO_CONCEPTS_METHODS_2006|SNA_2008|BEA_INDUSTRY_CLASSIFICATION_2018
AR24:PRODUCER_MAKE:GFGN:CORE:22,-9,IOMake_After_Redefinitions_PRO_Summary.xlsx,073b87c7e52e76fb78ad7ddafb0c2e60f9188fc5a4e56dc0094f4a7ae3f529c6,2024,H75,G,UNRESOLVED_NEGATIVE_INDUSTRY_COMMODITY_MAKE,UNRESOLVED_BLOCKED,UNRESOLVED_SEMANTIC_BLOCKER,NO_ADMISSIBLE_ECONOMIC_MECHANISM_ESTABLISHED,BEA_IO_CONCEPTS_METHODS_2006
