matrix_id,year,row_position,row_code,row_description,row_type,column_position,column_code,column_description,column_type,value
commodity_by_industry_direct,2024,1,111CA,Farms,Commodity,69,GFE,Federal government enterprises,Industry,0.0000000
commodity_by_industry_direct,2024,1,111CA,Farms,Commodity,70,GSLG,State and local general government,Industry,0.0015569
commodity_by_industry_direct,2024,1,111CA,Farms,Commodity,71,GSLE,State and local government enterprises,Industry,0.0000000
commodity_by_industry_direct,2024,2,113FF,"Forestry, fishing, and related activities",Commodity,1,111CA,Farms,Industry,0.0558677
commodity_by_industry_direct,2024,2,113FF,"Forestry, fishing, and related activities",Commodity,2,113FF,"Forestry, fishing, and related activities",Industry,0.1308283
commodity_by_industry_direct,2024,2,113FF,"Forestry, fishing, and related activities",Commodity,3,211,Oil and gas extraction,Industry,0.0000000
commodity_by_industry_direct,2024,2,113FF,"Forestry, fishing, and related activities",Commodity,4,212,"Mining, except oil and gas",Industry,0.0009290
commodity_by_industry_direct,2024,2,113FF,"Forestry, fishing, and related activities",Commodity,5,213,Support activities for mining,Industry,0.0000000
commodity_by_industry_direct,2024,2,113FF,"Forestry, fishing, and related activities",Commodity,6,22,Utilities,Industry,0.0000000
commodity_by_industry_direct,2024,2,113FF,"Forestry, fishing, and related activities",Commodity,7,23,Construction,Industry,0.0000000
commodity_by_industry_direct,2024,2,113FF,"Forestry, fishing, and related activities",Commodity,8,321,Wood products,Industry,0.1047864
commodity_by_industry_direct,2024,2,113FF,"Forestry, fishing, and related activities",Commodity,9,327,Nonmetallic mineral products,Industry,0.0000033
commodity_by_industry_direct,2024,2,113FF,"Forestry, fishing, and related activities",Commodity,10,331,Primary metals,Industry,0.0000000
commodity_by_industry_direct,2024,2,113FF,"Forestry, fishing, and related activities",Commodity,11,332,Fabricated metal products,Industry,0.0000000
commodity_by_industry_direct,2024,2,113FF,"Forestry, fishing, and related activities",Commodity,12,333,Machinery,Industry,0.0000000
commodity_by_industry_direct,2024,2,113FF,"Forestry, fishing, and related activities",Commodity,13,334,Computer and electronic products,Industry,0.0000000
commodity_by_industry_direct,2024,2,113FF,"Forestry, fishing, and related activities",Commodity,14,335,"Electrical equipment, appliances, and components",Industry,0.0000000
commodity_by_industry_direct,2024,2,113FF,"Forestry, fishing, and related activities",Commodity,15,3361MV,"Motor vehicles, bodies and trailers, and parts",Industry,0.0000000
commodity_by_industry_direct,2024,2,113FF,"Forestry, fishing, and related activities",Commodity,16,3364OT,Other transportation equipment,Industry,0.0000000
commodity_by_industry_direct,2024,2,113FF,"Forestry, fishing, and related activities",Commodity,17,337,Furniture and related products,Industry,0.0012147
commodity_by_industry_direct,2024,2,113FF,"Forestry, fishing, and related activities",Commodity,18,339,Miscellaneous manufacturing,Industry,0.0015557
commodity_by_industry_direct,2024,2,113FF,"Forestry, fishing, and related activities",Commodity,19,311FT,Food and beverage and tobacco products,Industry,0.0052605
commodity_by_industry_direct,2024,2,113FF,"Forestry, fishing, and related activities",Commodity,20,313TT,Textile mills and textile product mills,Industry,0.0000000
commodity_by_industry_direct,2024,2,113FF,"Forestry, fishing, and related activities",Commodity,21,315AL,Apparel and leather and allied products,Industry,0.0088078
commodity_by_industry_direct,2024,2,113FF,"Forestry, fishing, and related activities",Commodity,22,322,Paper products,Industry,0.0171118
commodity_by_industry_direct,2024,2,113FF,"Forestry, fishing, and related activities",Commodity,23,323,Printing and related support activities,Industry,0.0002973
commodity_by_industry_direct,2024,2,113FF,"Forestry, fishing, and related activities",Commodity,24,324,Petroleum and coal products,Industry,0.0000000
commodity_by_industry_direct,2024,2,113FF,"Forestry, fishing, and related activities",Commodity,25,325,Chemical products,Industry,0.0004055
commodity_by_industry_direct,2024,2,113FF,"Forestry, fishing, and related activities",Commodity,26,326,Plastics and rubber products,Industry,0.0057370
commodity_by_industry_direct,2024,2,113FF,"Forestry, fishing, and related activities",Commodity,27,42,Wholesale trade,Industry,0.0000000
commodity_by_industry_direct,2024,2,113FF,"Forestry, fishing, and related activities",Commodity,28,441,Motor vehicle and parts dealers,Industry,0.0000000
commodity_by_industry_direct,2024,2,113FF,"Forestry, fishing, and related activities",Commodity,29,445,Food and beverage stores,Industry,0.0013930
commodity_by_industry_direct,2024,2,113FF,"Forestry, fishing, and related activities",Commodity,30,452,General merchandise stores,Industry,0.0000000
commodity_by_industry_direct,2024,2,113FF,"Forestry, fishing, and related activities",Commodity,31,4A0,Other retail,Industry,0.0000000
commodity_by_industry_direct,2024,2,113FF,"Forestry, fishing, and related activities",Commodity,32,481,Air transportation,Industry,0.0000000
commodity_by_industry_direct,2024,2,113FF,"Forestry, fishing, and related activities",Commodity,33,482,Rail transportation,Industry,0.0000000
commodity_by_industry_direct,2024,2,113FF,"Forestry, fishing, and related activities",Commodity,34,483,Water transportation,Industry,0.0000000
commodity_by_industry_direct,2024,2,113FF,"Forestry, fishing, and related activities",Commodity,35,484,Truck transportation,Industry,0.0000000
commodity_by_industry_direct,2024,2,113FF,"Forestry, fishing, and related activities",Commodity,36,485,Transit and ground passenger transportation,Industry,0.0000000
commodity_by_industry_direct,2024,2,113FF,"Forestry, fishing, and related activities",Commodity,37,486,Pipeline transportation,Industry,0.0000000
commodity_by_industry_direct,2024,2,113FF,"Forestry, fishing, and related activities",Commodity,38,487OS,Other transportation and support activities,Industry,0.0000035
commodity_by_industry_direct,2024,2,113FF,"Forestry, fishing, and related activities",Commodity,39,493,Warehousing and storage,Industry,0.0000000
commodity_by_industry_direct,2024,2,113FF,"Forestry, fishing, and related activities",Commodity,40,511,"Publishing industries, except internet (includes software)",Industry,0.0000000
commodity_by_industry_direct,2024,2,113FF,"Forestry, fishing, and related activities",Commodity,41,512,Motion picture and sound recording industries,Industry,0.0000000
commodity_by_industry_direct,2024,2,113FF,"Forestry, fishing, and related activities",Commodity,42,513,Broadcasting and telecommunications,Industry,0.0000000
commodity_by_industry_direct,2024,2,113FF,"Forestry, fishing, and related activities",Commodity,43,514,"Data processing, internet publishing, and other information services",Industry,0.0000000
commodity_by_industry_direct,2024,2,113FF,"Forestry, fishing, and related activities",Commodity,44,521CI,"Federal Reserve banks, credit intermediation, and related activities",Industry,0.0000000
commodity_by_industry_direct,2024,2,113FF,"Forestry, fishing, and related activities",Commodity,45,523,"Securities, commodity contracts, and investments",Industry,0.0000000
commodity_by_industry_direct,2024,2,113FF,"Forestry, fishing, and related activities",Commodity,46,524,Insurance carriers and related activities,Industry,0.0000000
commodity_by_industry_direct,2024,2,113FF,"Forestry, fishing, and related activities",Commodity,47,525,"Funds, trusts, and other financial vehicles",Industry,0.0000000
commodity_by_industry_direct,2024,2,113FF,"Forestry, fishing, and related activities",Commodity,48,HS,Housing,Industry,0.0000000
commodity_by_industry_direct,2024,2,113FF,"Forestry, fishing, and related activities",Commodity,49,ORE,Other real estate,Industry,0.0000000
commodity_by_industry_direct,2024,2,113FF,"Forestry, fishing, and related activities",Commodity,50,532RL,Rental and leasing services and lessors of intangible assets,Industry,0.0000000
commodity_by_industry_direct,2024,2,113FF,"Forestry, fishing, and related activities",Commodity,51,5411,Legal services,Industry,0.0000000
commodity_by_industry_direct,2024,2,113FF,"Forestry, fishing, and related activities",Commodity,52,5415,Computer systems design and related services,Industry,0.0000000
commodity_by_industry_direct,2024,2,113FF,"Forestry, fishing, and related activities",Commodity,53,5412OP,"Miscellaneous professional, scientific, and technical services",Industry,0.0000860
commodity_by_industry_direct,2024,2,113FF,"Forestry, fishing, and related activities",Commodity,54,55,Management of companies and enterprises,Industry,0.0000326
commodity_by_industry_direct,2024,2,113FF,"Forestry, fishing, and related activities",Commodity,55,561,Administrative and support services,Industry,0.0000034
commodity_by_industry_direct,2024,2,113FF,"Forestry, fishing, and related activities",Commodity,56,562,Waste management and remediation services,Industry,0.0000000
commodity_by_industry_direct,2024,2,113FF,"Forestry, fishing, and related activities",Commodity,57,61,Educational services,Industry,0.0000895
commodity_by_industry_direct,2024,2,113FF,"Forestry, fishing, and related activities",Commodity,58,621,Ambulatory health care services,Industry,0.0000000
commodity_by_industry_direct,2024,2,113FF,"Forestry, fishing, and related activities",Commodity,59,622,Hospitals,Industry,0.0000000
commodity_by_industry_direct,2024,2,113FF,"Forestry, fishing, and related activities",Commodity,60,623,Nursing and residential care facilities,Industry,0.0000000
commodity_by_industry_direct,2024,2,113FF,"Forestry, fishing, and related activities",Commodity,61,624,Social assistance,Industry,0.0000000
commodity_by_industry_direct,2024,2,113FF,"Forestry, fishing, and related activities",Commodity,62,711AS,"Performing arts, spectator sports, museums, and related activities",Industry,0.0000000
commodity_by_industry_direct,2024,2,113FF,"Forestry, fishing, and related activities",Commodity,63,713,"Amusements, gambling, and recreation industries",Industry,0.0011217
commodity_by_industry_direct,2024,2,113FF,"Forestry, fishing, and related activities",Commodity,64,721,Accommodation,Industry,0.0008929
commodity_by_industry_direct,2024,2,113FF,"Forestry, fishing, and related activities",Commodity,65,722,Food services and drinking places,Industry,0.0038273
commodity_by_industry_direct,2024,2,113FF,"Forestry, fishing, and related activities",Commodity,66,81,"Other services, except government",Industry,0.0000612
commodity_by_industry_direct,2024,2,113FF,"Forestry, fishing, and related activities",Commodity,67,GFGD,Federal general government (defense),Industry,0.0000000
commodity_by_industry_direct,2024,2,113FF,"Forestry, fishing, and related activities",Commodity,68,GFGN,Federal general government (nondefense),Industry,0.0000000
commodity_by_industry_direct,2024,2,113FF,"Forestry, fishing, and related activities",Commodity,69,GFE,Federal government enterprises,Industry,0.0001105
commodity_by_industry_direct,2024,2,113FF,"Forestry, fishing, and related activities",Commodity,70,GSLG,State and local general government,Industry,0.0015762
commodity_by_industry_direct,2024,2,113FF,"Forestry, fishing, and related activities",Commodity,71,GSLE,State and local government enterprises,Industry,0.0000000
commodity_by_industry_direct,2024,3,211,Oil and gas extraction,Commodity,1,111CA,Farms,Industry,0.0000000
commodity_by_industry_direct,2024,3,211,Oil and gas extraction,Commodity,2,113FF,"Forestry, fishing, and related activities",Industry,0.0000000
commodity_by_industry_direct,2024,3,211,Oil and gas extraction,Commodity,3,211,Oil and gas extraction,Industry,0.0641171
commodity_by_industry_direct,2024,3,211,Oil and gas extraction,Commodity,4,212,"Mining, except oil and gas",Industry,0.0001587
commodity_by_industry_direct,2024,3,211,Oil and gas extraction,Commodity,5,213,Support activities for mining,Industry,0.0000414
commodity_by_industry_direct,2024,3,211,Oil and gas extraction,Commodity,6,22,Utilities,Industry,0.0283052
commodity_by_industry_direct,2024,3,211,Oil and gas extraction,Commodity,7,23,Construction,Industry,0.0000000
commodity_by_industry_direct,2024,3,211,Oil and gas extraction,Commodity,8,321,Wood products,Industry,0.0001505
commodity_by_industry_direct,2024,3,211,Oil and gas extraction,Commodity,9,327,Nonmetallic mineral products,Industry,0.0000469
commodity_by_industry_direct,2024,3,211,Oil and gas extraction,Commodity,10,331,Primary metals,Industry,0.0000420
commodity_by_industry_direct,2024,3,211,Oil and gas extraction,Commodity,11,332,Fabricated metal products,Industry,0.0000173
commodity_by_industry_direct,2024,3,211,Oil and gas extraction,Commodity,12,333,Machinery,Industry,0.0000000
commodity_by_industry_direct,2024,3,211,Oil and gas extraction,Commodity,13,334,Computer and electronic products,Industry,0.0000000
commodity_by_industry_direct,2024,3,211,Oil and gas extraction,Commodity,14,335,"Electrical equipment, appliances, and components",Industry,0.0000000
commodity_by_industry_direct,2024,3,211,Oil and gas extraction,Commodity,15,3361MV,"Motor vehicles, bodies and trailers, and parts",Industry,0.0000011
commodity_by_industry_direct,2024,3,211,Oil and gas extraction,Commodity,16,3364OT,Other transportation equipment,Industry,0.0000000
commodity_by_industry_direct,2024,3,211,Oil and gas extraction,Commodity,17,337,Furniture and related products,Industry,0.0000000
commodity_by_industry_direct,2024,3,211,Oil and gas extraction,Commodity,18,339,Miscellaneous manufacturing,Industry,0.0000000
commodity_by_industry_direct,2024,3,211,Oil and gas extraction,Commodity,19,311FT,Food and beverage and tobacco products,Industry,0.0000183
commodity_by_industry_direct,2024,3,211,Oil and gas extraction,Commodity,20,313TT,Textile mills and textile product mills,Industry,0.0000000
commodity_by_industry_direct,2024,3,211,Oil and gas extraction,Commodity,21,315AL,Apparel and leather and allied products,Industry,0.0000000
commodity_by_industry_direct,2024,3,211,Oil and gas extraction,Commodity,22,322,Paper products,Industry,0.0000630
commodity_by_industry_direct,2024,3,211,Oil and gas extraction,Commodity,23,323,Printing and related support activities,Industry,0.0000531
commodity_by_industry_direct,2024,3,211,Oil and gas extraction,Commodity,24,324,Petroleum and coal products,Industry,0.5633060
commodity_by_industry_direct,2024,3,211,Oil and gas extraction,Commodity,25,325,Chemical products,Industry,0.0146287
commodity_by_industry_direct,2024,3,211,Oil and gas extraction,Commodity,26,326,Plastics and rubber products,Industry,0.0000826
commodity_by_industry_direct,2024,3,211,Oil and gas extraction,Commodity,27,42,Wholesale trade,Industry,0.0000249
commodity_by_industry_direct,2024,3,211,Oil and gas extraction,Commodity,28,441,Motor vehicle and parts dealers,Industry,0.0000909
commodity_by_industry_direct,2024,3,211,Oil and gas extraction,Commodity,29,445,Food and beverage stores,Industry,0.0000362
commodity_by_industry_direct,2024,3,211,Oil and gas extraction,Commodity,30,452,General merchandise stores,Industry,0.0000348
commodity_by_industry_direct,2024,3,211,Oil and gas extraction,Commodity,31,4A0,Other retail,Industry,0.0000729
commodity_by_industry_direct,2024,3,211,Oil and gas extraction,Commodity,32,481,Air transportation,Industry,0.0000000
commodity_by_industry_direct,2024,3,211,Oil and gas extraction,Commodity,33,482,Rail transportation,Industry,0.0000000
commodity_by_industry_direct,2024,3,211,Oil and gas extraction,Commodity,34,483,Water transportation,Industry,0.0000000
commodity_by_industry_direct,2024,3,211,Oil and gas extraction,Commodity,35,484,Truck transportation,Industry,0.0000000
commodity_by_industry_direct,2024,3,211,Oil and gas extraction,Commodity,36,485,Transit and ground passenger transportation,Industry,0.0000000
commodity_by_industry_direct,2024,3,211,Oil and gas extraction,Commodity,37,486,Pipeline transportation,Industry,0.0009623
commodity_by_industry_direct,2024,3,211,Oil and gas extraction,Commodity,38,487OS,Other transportation and support activities,Industry,0.0000000
commodity_by_industry_direct,2024,3,211,Oil and gas extraction,Commodity,39,493,Warehousing and storage,Industry,0.0028600
commodity_by_industry_direct,2024,3,211,Oil and gas extraction,Commodity,40,511,"Publishing industries, except internet (includes software)",Industry,0.0006218
commodity_by_industry_direct,2024,3,211,Oil and gas extraction,Commodity,41,512,Motion picture and sound recording industries,Industry,0.0001462
commodity_by_industry_direct,2024,3,211,Oil and gas extraction,Commodity,42,513,Broadcasting and telecommunications,Industry,0.0000424
commodity_by_industry_direct,2024,3,211,Oil and gas extraction,Commodity,43,514,"Data processing, internet publishing, and other information services",Industry,0.0002105
commodity_by_industry_direct,2024,3,211,Oil and gas extraction,Commodity,44,521CI,"Federal Reserve banks, credit intermediation, and related activities",Industry,0.0000000
commodity_by_industry_direct,2024,3,211,Oil and gas extraction,Commodity,45,523,"Securities, commodity contracts, and investments",Industry,0.0000000
commodity_by_industry_direct,2024,3,211,Oil and gas extraction,Commodity,46,524,Insurance carriers and related activities,Industry,0.0000000
commodity_by_industry_direct,2024,3,211,Oil and gas extraction,Commodity,47,525,"Funds, trusts, and other financial vehicles",Industry,0.0000000
commodity_by_industry_direct,2024,3,211,Oil and gas extraction,Commodity,48,HS,Housing,Industry,0.0000000
commodity_by_industry_direct,2024,3,211,Oil and gas extraction,Commodity,49,ORE,Other real estate,Industry,0.0000838
commodity_by_industry_direct,2024,3,211,Oil and gas extraction,Commodity,50,532RL,Rental and leasing services and lessors of intangible assets,Industry,0.0000000
commodity_by_industry_direct,2024,3,211,Oil and gas extraction,Commodity,51,5411,Legal services,Industry,0.0000000
commodity_by_industry_direct,2024,3,211,Oil and gas extraction,Commodity,52,5415,Computer systems design and related services,Industry,0.0000080
commodity_by_industry_direct,2024,3,211,Oil and gas extraction,Commodity,53,5412OP,"Miscellaneous professional, scientific, and technical services",Industry,0.0000348
commodity_by_industry_direct,2024,3,211,Oil and gas extraction,Commodity,54,55,Management of companies and enterprises,Industry,0.0000207
commodity_by_industry_direct,2024,3,211,Oil and gas extraction,Commodity,55,561,Administrative and support services,Industry,0.0000165
commodity_by_industry_direct,2024,3,211,Oil and gas extraction,Commodity,56,562,Waste management and remediation services,Industry,0.0004617
commodity_by_industry_direct,2024,3,211,Oil and gas extraction,Commodity,57,61,Educational services,Industry,0.0038179
commodity_by_industry_direct,2024,3,211,Oil and gas extraction,Commodity,58,621,Ambulatory health care services,Industry,0.0004027
commodity_by_industry_direct,2024,3,211,Oil and gas extraction,Commodity,59,622,Hospitals,Industry,0.0000111
commodity_by_industry_direct,2024,3,211,Oil and gas extraction,Commodity,60,623,Nursing and residential care facilities,Industry,0.0000807
commodity_by_industry_direct,2024,3,211,Oil and gas extraction,Commodity,61,624,Social assistance,Industry,0.0001044
commodity_by_industry_direct,2024,3,211,Oil and gas extraction,Commodity,62,711AS,"Performing arts, spectator sports, museums, and related activities",Industry,0.0001083
commodity_by_industry_direct,2024,3,211,Oil and gas extraction,Commodity,63,713,"Amusements, gambling, and recreation industries",Industry,0.0008672
commodity_by_industry_direct,2024,3,211,Oil and gas extraction,Commodity,64,721,Accommodation,Industry,0.0001267
commodity_by_industry_direct,2024,3,211,Oil and gas extraction,Commodity,65,722,Food services and drinking places,Industry,0.0000177
commodity_by_industry_direct,2024,3,211,Oil and gas extraction,Commodity,66,81,"Other services, except government",Industry,0.0001380
commodity_by_industry_direct,2024,3,211,Oil and gas extraction,Commodity,67,GFGD,Federal general government (defense),Industry,0.0000000
commodity_by_industry_direct,2024,3,211,Oil and gas extraction,Commodity,68,GFGN,Federal general government (nondefense),Industry,0.0000000
commodity_by_industry_direct,2024,3,211,Oil and gas extraction,Commodity,69,GFE,Federal government enterprises,Industry,0.0063403
commodity_by_industry_direct,2024,3,211,Oil and gas extraction,Commodity,70,GSLG,State and local general government,Industry,0.0000000
commodity_by_industry_direct,2024,3,211,Oil and gas extraction,Commodity,71,GSLE,State and local government enterprises,Industry,0.0306705
commodity_by_industry_direct,2024,4,212,"Mining, except oil and gas",Commodity,1,111CA,Farms,Industry,0.0024257
commodity_by_industry_direct,2024,4,212,"Mining, except oil and gas",Commodity,2,113FF,"Forestry, fishing, and related activities",Industry,0.0000020
commodity_by_industry_direct,2024,4,212,"Mining, except oil and gas",Commodity,3,211,Oil and gas extraction,Industry,0.0001350
commodity_by_industry_direct,2024,4,212,"Mining, except oil and gas",Commodity,4,212,"Mining, except oil and gas",Industry,0.0822738
commodity_by_industry_direct,2024,4,212,"Mining, except oil and gas",Commodity,5,213,Support activities for mining,Industry,0.0008213
commodity_by_industry_direct,2024,4,212,"Mining, except oil and gas",Commodity,6,22,Utilities,Industry,0.0078710
commodity_by_industry_direct,2024,4,212,"Mining, except oil and gas",Commodity,7,23,Construction,Industry,0.0089862
commodity_by_industry_direct,2024,4,212,"Mining, except oil and gas",Commodity,8,321,Wood products,Industry,0.0000407
commodity_by_industry_direct,2024,4,212,"Mining, except oil and gas",Commodity,9,327,Nonmetallic mineral products,Industry,0.0694682
commodity_by_industry_direct,2024,4,212,"Mining, except oil and gas",Commodity,10,331,Primary metals,Industry,0.0422341
commodity_by_industry_direct,2024,4,212,"Mining, except oil and gas",Commodity,11,332,Fabricated metal products,Industry,0.0010777
commodity_by_industry_direct,2024,4,212,"Mining, except oil and gas",Commodity,12,333,Machinery,Industry,0.0002031
commodity_by_industry_direct,2024,4,212,"Mining, except oil and gas",Commodity,13,334,Computer and electronic products,Industry,0.0000120
commodity_by_industry_direct,2024,4,212,"Mining, except oil and gas",Commodity,14,335,"Electrical equipment, appliances, and components",Industry,0.0003811
commodity_by_industry_direct,2024,4,212,"Mining, except oil and gas",Commodity,15,3361MV,"Motor vehicles, bodies and trailers, and parts",Industry,0.0000943
commodity_by_industry_direct,2024,4,212,"Mining, except oil and gas",Commodity,16,3364OT,Other transportation equipment,Industry,0.0001759
commodity_by_industry_direct,2024,4,212,"Mining, except oil and gas",Commodity,17,337,Furniture and related products,Industry,0.0001417
commodity_by_industry_direct,2024,4,212,"Mining, except oil and gas",Commodity,18,339,Miscellaneous manufacturing,Industry,0.0007461
commodity_by_industry_direct,2024,4,212,"Mining, except oil and gas",Commodity,19,311FT,Food and beverage and tobacco products,Industry,0.0007893
